Paris;2.33;48.86;
Lyon;4.85;45.75;
Marseille;5.4;43.3;
Lille;3.06;50.63;
Strasbourg;7.75;48.57;
Rennes;-1.66;48.11;
Clermont-Ferrand;3.08;45.77;
Bordeaux;-0.57;44.83;
Toulouse;1.43;43.6;
Grenoble;5.72;45.18;
